DataType,Instrument,Field,Description,Type,Labels
Quantitative,Strength and Difficulties Questionnaire,SDQ_SDQ_Conduct_Problems,Conduct problems scale,int,"0=Homemaker, stay at home parent.
5=Day laborer, janitor, house cleaner, farm worker, food counter sales, food preparation worker, busboy.
10=Garbage collector, short-order cook, cab driver, shoe sales, assembly line workers, masons, baggage porter.
15=Painter, skilled construction trade, sales clerk, truck driver, cook, sales counter or general office clerk.
20=Automobile mechanic, typist, locksmith, farmer, carpenter, receptionist, construction laborer, hairdresser.
25=Machinist, musician, bookkeeper, secretary, insurance sales, cabinet maker, personnel specialist, welder.
30=Supervisor, librarian, aircraft mechanic, artist and artisan, electrician, administrator, military enlisted personnel, buyer.
35=Nurse, skilled technician, medical technician, counselor, manager, police and fire personnel, financial manager, physical, occupational, speech therapist.
40=Mechanical, nuclear, and electrical engineer, educational administrator, veterinarian, military officer, elementary, high school and special education teacher.
45=Physician, attorney, professor, chemical and aerospace engineer, judge, CEO, senior manager, public official, psychologist, pharmacist, accountant."
Quantitative,Strength and Difficulties Questionnaire,SDQ_SDQ_Difficulties_Total,Total Difficulties Score,int,"0=Homemaker, stay at home parent.
5=Day laborer, janitor, house cleaner, farm worker, food counter sales, food preparation worker, busboy.
10=Garbage collector, short-order cook, cab driver, shoe sales, assembly line workers, masons, baggage porter.
15=Painter, skilled construction trade, sales clerk, truck driver, cook, sales counter or general office clerk.
20=Automobile mechanic, typist, locksmith, farmer, carpenter, receptionist, construction laborer, hairdresser.
25=Machinist, musician, bookkeeper, secretary, insurance sales, cabinet maker, personnel specialist, welder.
30=Supervisor, librarian, aircraft mechanic, artist and artisan, electrician, administrator, military enlisted personnel, buyer.
35=Nurse, skilled technician, medical technician, counselor, manager, police and fire personnel, financial manager, physical, occupational, speech therapist.
40=Mechanical, nuclear, and electrical engineer, educational administrator, veterinarian, military officer, elementary, high school and special education teacher.
45=Physician, attorney, professor, chemical and aerospace engineer, judge, CEO, senior manager, public official, psychologist, pharmacist, accountant."
Quantitative,Strength and Difficulties Questionnaire,SDQ_SDQ_Emotional_Problems,Emotional Problems Scale,int,"0=Homemaker, stay at home parent.
5=Day laborer, janitor, house cleaner, farm worker, food counter sales, food preparation worker, busboy.
10=Garbage collector, short-order cook, cab driver, shoe sales, assembly line workers, masons, baggage porter.
15=Painter, skilled construction trade, sales clerk, truck driver, cook, sales counter or general office clerk.
20=Automobile mechanic, typist, locksmith, farmer, carpenter, receptionist, construction laborer, hairdresser.
25=Machinist, musician, bookkeeper, secretary, insurance sales, cabinet maker, personnel specialist, welder.
30=Supervisor, librarian, aircraft mechanic, artist and artisan, electrician, administrator, military enlisted personnel, buyer.
35=Nurse, skilled technician, medical technician, counselor, manager, police and fire personnel, financial manager, physical, occupational, speech therapist.
40=Mechanical, nuclear, and electrical engineer, educational administrator, veterinarian, military officer, elementary, high school and special education teacher.
45=Physician, attorney, professor, chemical and aerospace engineer, judge, CEO, senior manager, public official, psychologist, pharmacist, accountant."
Quantitative,Strength and Difficulties Questionnaire,SDQ_SDQ_Externalizing,Externalizing Score,int,"0=Homemaker, stay at home parent.
5=Day laborer, janitor, house cleaner, farm worker, food counter sales, food preparation worker, busboy.
10=Garbage collector, short-order cook, cab driver, shoe sales, assembly line workers, masons, baggage porter.
15=Painter, skilled construction trade, sales clerk, truck driver, cook, sales counter or general office clerk.
20=Automobile mechanic, typist, locksmith, farmer, carpenter, receptionist, construction laborer, hairdresser.
25=Machinist, musician, bookkeeper, secretary, insurance sales, cabinet maker, personnel specialist, welder.
30=Supervisor, librarian, aircraft mechanic, artist and artisan, electrician, administrator, military enlisted personnel, buyer.
35=Nurse, skilled technician, medical technician, counselor, manager, police and fire personnel, financial manager, physical, occupational, speech therapist.
40=Mechanical, nuclear, and electrical engineer, educational administrator, veterinarian, military officer, elementary, high school and special education teacher.
45=Physician, attorney, professor, chemical and aerospace engineer, judge, CEO, senior manager, public official, psychologist, pharmacist, accountant."
Quantitative,Strength and Difficulties Questionnaire,SDQ_SDQ_Generating_Impact,Generating Impact Scores,int,"0=Homemaker, stay at home parent.
5=Day laborer, janitor, house cleaner, farm worker, food counter sales, food preparation worker, busboy.
10=Garbage collector, short-order cook, cab driver, shoe sales, assembly line workers, masons, baggage porter.
15=Painter, skilled construction trade, sales clerk, truck driver, cook, sales counter or general office clerk.
20=Automobile mechanic, typist, locksmith, farmer, carpenter, receptionist, construction laborer, hairdresser.
25=Machinist, musician, bookkeeper, secretary, insurance sales, cabinet maker, personnel specialist, welder.
30=Supervisor, librarian, aircraft mechanic, artist and artisan, electrician, administrator, military enlisted personnel, buyer.
35=Nurse, skilled technician, medical technician, counselor, manager, police and fire personnel, financial manager, physical, occupational, speech therapist.
40=Mechanical, nuclear, and electrical engineer, educational administrator, veterinarian, military officer, elementary, high school and special education teacher.
45=Physician, attorney, professor, chemical and aerospace engineer, judge, CEO, senior manager, public official, psychologist, pharmacist, accountant."
Quantitative,Strength and Difficulties Questionnaire,SDQ_SDQ_Hyperactivity,Hyperactivity Scale,int,"0=Homemaker, stay at home parent.
5=Day laborer, janitor, house cleaner, farm worker, food counter sales, food preparation worker, busboy.
10=Garbage collector, short-order cook, cab driver, shoe sales, assembly line workers, masons, baggage porter.
15=Painter, skilled construction trade, sales clerk, truck driver, cook, sales counter or general office clerk.
20=Automobile mechanic, typist, locksmith, farmer, carpenter, receptionist, construction laborer, hairdresser.
25=Machinist, musician, bookkeeper, secretary, insurance sales, cabinet maker, personnel specialist, welder.
30=Supervisor, librarian, aircraft mechanic, artist and artisan, electrician, administrator, military enlisted personnel, buyer.
35=Nurse, skilled technician, medical technician, counselor, manager, police and fire personnel, financial manager, physical, occupational, speech therapist.
40=Mechanical, nuclear, and electrical engineer, educational administrator, veterinarian, military officer, elementary, high school and special education teacher.
45=Physician, attorney, professor, chemical and aerospace engineer, judge, CEO, senior manager, public official, psychologist, pharmacist, accountant."
Quantitative,Strength and Difficulties Questionnaire,SDQ_SDQ_Internalizing,Internalizing Score,int,"0=Homemaker, stay at home parent.
5=Day laborer, janitor, house cleaner, farm worker, food counter sales, food preparation worker, busboy.
10=Garbage collector, short-order cook, cab driver, shoe sales, assembly line workers, masons, baggage porter.
15=Painter, skilled construction trade, sales clerk, truck driver, cook, sales counter or general office clerk.
20=Automobile mechanic, typist, locksmith, farmer, carpenter, receptionist, construction laborer, hairdresser.
25=Machinist, musician, bookkeeper, secretary, insurance sales, cabinet maker, personnel specialist, welder.
30=Supervisor, librarian, aircraft mechanic, artist and artisan, electrician, administrator, military enlisted personnel, buyer.
35=Nurse, skilled technician, medical technician, counselor, manager, police and fire personnel, financial manager, physical, occupational, speech therapist.
40=Mechanical, nuclear, and electrical engineer, educational administrator, veterinarian, military officer, elementary, high school and special education teacher.
45=Physician, attorney, professor, chemical and aerospace engineer, judge, CEO, senior manager, public official, psychologist, pharmacist, accountant."
Quantitative,Strength and Difficulties Questionnaire,SDQ_SDQ_Peer_Problems,Peer Problems Scale,int,"0=Homemaker, stay at home parent.
5=Day laborer, janitor, house cleaner, farm worker, food counter sales, food preparation worker, busboy.
10=Garbage collector, short-order cook, cab driver, shoe sales, assembly line workers, masons, baggage porter.
15=Painter, skilled construction trade, sales clerk, truck driver, cook, sales counter or general office clerk.
20=Automobile mechanic, typist, locksmith, farmer, carpenter, receptionist, construction laborer, hairdresser.
25=Machinist, musician, bookkeeper, secretary, insurance sales, cabinet maker, personnel specialist, welder.
30=Supervisor, librarian, aircraft mechanic, artist and artisan, electrician, administrator, military enlisted personnel, buyer.
35=Nurse, skilled technician, medical technician, counselor, manager, police and fire personnel, financial manager, physical, occupational, speech therapist.
40=Mechanical, nuclear, and electrical engineer, educational administrator, veterinarian, military officer, elementary, high school and special education teacher.
45=Physician, attorney, professor, chemical and aerospace engineer, judge, CEO, senior manager, public official, psychologist, pharmacist, accountant."
Quantitative,Strength and Difficulties Questionnaire,SDQ_SDQ_Prosocial,Prosocial Scale,int,"0=Homemaker, stay at home parent.
5=Day laborer, janitor, house cleaner, farm worker, food counter sales, food preparation worker, busboy.
10=Garbage collector, short-order cook, cab driver, shoe sales, assembly line workers, masons, baggage porter.
15=Painter, skilled construction trade, sales clerk, truck driver, cook, sales counter or general office clerk.
20=Automobile mechanic, typist, locksmith, farmer, carpenter, receptionist, construction laborer, hairdresser.
25=Machinist, musician, bookkeeper, secretary, insurance sales, cabinet maker, personnel specialist, welder.
30=Supervisor, librarian, aircraft mechanic, artist and artisan, electrician, administrator, military enlisted personnel, buyer.
35=Nurse, skilled technician, medical technician, counselor, manager, police and fire personnel, financial manager, physical, occupational, speech therapist.
40=Mechanical, nuclear, and electrical engineer, educational administrator, veterinarian, military officer, elementary, high school and special education teacher.
45=Physician, attorney, professor, chemical and aerospace engineer, judge, CEO, senior manager, public official, psychologist, pharmacist, accountant."
Quantitative,MRI Information,"MRI_Track,Age_at_Scan",Age at time of MRI scan,float,"0=Homemaker, stay at home parent.
5=Day laborer, janitor, house cleaner, farm worker, food counter sales, food preparation worker, busboy.
10=Garbage collector, short-order cook, cab driver, shoe sales, assembly line workers, masons, baggage porter.
15=Painter, skilled construction trade, sales clerk, truck driver, cook, sales counter or general office clerk.
20=Automobile mechanic, typist, locksmith, farmer, carpenter, receptionist, construction laborer, hairdresser.
25=Machinist, musician, bookkeeper, secretary, insurance sales, cabinet maker, personnel specialist, welder.
30=Supervisor, librarian, aircraft mechanic, artist and artisan, electrician, administrator, military enlisted personnel, buyer.
35=Nurse, skilled technician, medical technician, counselor, manager, police and fire personnel, financial manager, physical, occupational, speech therapist.
40=Mechanical, nuclear, and electrical engineer, educational administrator, veterinarian, military officer, elementary, high school and special education teacher.
45=Physician, attorney, professor, chemical and aerospace engineer, judge, CEO, senior manager, public official, psychologist, pharmacist, accountant."
Quantitative,Strength and Difficulties Questionnaire,participant_id,Participant ID,int,"0=Homemaker, stay at home parent.
5=Day laborer, janitor, house cleaner, farm worker, food counter sales, food preparation worker, busboy.
10=Garbage collector, short-order cook, cab driver, shoe sales, assembly line workers, masons, baggage porter.
15=Painter, skilled construction trade, sales clerk, truck driver, cook, sales counter or general office clerk.
20=Automobile mechanic, typist, locksmith, farmer, carpenter, receptionist, construction laborer, hairdresser.
25=Machinist, musician, bookkeeper, secretary, insurance sales, cabinet maker, personnel specialist, welder.
30=Supervisor, librarian, aircraft mechanic, artist and artisan, electrician, administrator, military enlisted personnel, buyer.
35=Nurse, skilled technician, medical technician, counselor, manager, police and fire personnel, financial manager, physical, occupational, speech therapist.
40=Mechanical, nuclear, and electrical engineer, educational administrator, veterinarian, military officer, elementary, high school and special education teacher.
45=Physician, attorney, professor, chemical and aerospace engineer, judge, CEO, senior manager, public official, psychologist, pharmacist, accountant."
CATEGORICAL METADATA,Strength and Difficulties Questionnaire,participant_id,Participant ID,int,"0=Homemaker, stay at home parent.
5=Day laborer, janitor, house cleaner, farm worker, food counter sales, food preparation worker, busboy.
10=Garbage collector, short-order cook, cab driver, shoe sales, assembly line workers, masons, baggage porter.
15=Painter, skilled construction trade, sales clerk, truck driver, cook, sales counter or general office clerk.
20=Automobile mechanic, typist, locksmith, farmer, carpenter, receptionist, construction laborer, hairdresser.
25=Machinist, musician, bookkeeper, secretary, insurance sales, cabinet maker, personnel specialist, welder.
30=Supervisor, librarian, aircraft mechanic, artist and artisan, electrician, administrator, military enlisted personnel, buyer.
35=Nurse, skilled technician, medical technician, counselor, manager, police and fire personnel, financial manager, physical, occupational, speech therapist.
40=Mechanical, nuclear, and electrical engineer, educational administrator, veterinarian, military officer, elementary, high school and special education teacher.
45=Physician, attorney, professor, chemical and aerospace engineer, judge, CEO, senior manager, public official, psychologist, pharmacist, accountant."
Quantitative,Identifier,participant_id,Participant ID,str,"0=Homemaker, stay at home parent.
5=Day laborer, janitor, house cleaner, farm worker, food counter sales, food preparation worker, busboy.
10=Garbage collector, short-order cook, cab driver, shoe sales, assembly line workers, masons, baggage porter.
15=Painter, skilled construction trade, sales clerk, truck driver, cook, sales counter or general office clerk.
20=Automobile mechanic, typist, locksmith, farmer, carpenter, receptionist, construction laborer, hairdresser.
25=Machinist, musician, bookkeeper, secretary, insurance sales, cabinet maker, personnel specialist, welder.
30=Supervisor, librarian, aircraft mechanic, artist and artisan, electrician, administrator, military enlisted personnel, buyer.
35=Nurse, skilled technician, medical technician, counselor, manager, police and fire personnel, financial manager, physical, occupational, speech therapist.
40=Mechanical, nuclear, and electrical engineer, educational administrator, veterinarian, military officer, elementary, high school and special education teacher.
45=Physician, attorney, professor, chemical and aerospace engineer, judge, CEO, senior manager, public official, psychologist, pharmacist, accountant."
Categorical ,Demographics,Basic_Demos_Enroll_Year,Year of enrollment,int,"0=Homemaker, stay at home parent.
5=Day laborer, janitor, house cleaner, farm worker, food counter sales, food preparation worker, busboy.
10=Garbage collector, short-order cook, cab driver, shoe sales, assembly line workers, masons, baggage porter.
15=Painter, skilled construction trade, sales clerk, truck driver, cook, sales counter or general office clerk.
20=Automobile mechanic, typist, locksmith, farmer, carpenter, receptionist, construction laborer, hairdresser.
25=Machinist, musician, bookkeeper, secretary, insurance sales, cabinet maker, personnel specialist, welder.
30=Supervisor, librarian, aircraft mechanic, artist and artisan, electrician, administrator, military enlisted personnel, buyer.
35=Nurse, skilled technician, medical technician, counselor, manager, police and fire personnel, financial manager, physical, occupational, speech therapist.
40=Mechanical, nuclear, and electrical engineer, educational administrator, veterinarian, military officer, elementary, high school and special education teacher.
45=Physician, attorney, professor, chemical and aerospace engineer, judge, CEO, senior manager, public official, psychologist, pharmacist, accountant."
Categorical ,Demographics,Basic_Demos_Study_Site,Site of phenotypic testing,categorical int,"1=Staten Island 
2=MRV
3=Midtown
4=Harlem
5=SI RUMC"
Categorical ,Pre-Interview- Demographics/Family,PreInt_Demos_Fam_Child_Ethnicity,Ethnicity of child,categorical int,"0= Not Hispanic or Latino
1= Hispanic or Latino
2= Decline to specify
3= Unknown"
Categorical ,Pre-Interview- Demographics/Family,PreInt_Demos_Fam_Child_Race,Race of child,categorical int,"0= White/Caucasian
1= Black/African American
2= Hispanic
3= Asian
4= Indian
5= Native American Indian
6= American Indian/Alaskan Native
7= Native Hawaiian/Other Pacific Islander
8= Two or more races
9= Other race
10= Unknown
11=Choose not to specify"
Categorical ,MRI Information,MRI_Track_Scan_Location,Scan location,categorical int,"1=Staten Island
2=RUBIC
3=CBIC
4=CUNY"
Categorical ,Barratt Simplified Measure of Social Status,Barratt_Barratt_P1_Edu,Parent 1 level of education,categorical int,"3=Less than 7th grade
6=Junior high/Middle school (9th grade)
9=Partial high school (10th or 11th grade)
12=High school graduate
15=Partial college (at least one year)
18=College education
21=Graduate degree"
Categorical ,Barratt Simplified Measure of Social Status,Barratt_Barratt_P1_Occ,Parent 1 occupation,categorical int,"0=Homemaker, stay at home parent.
5=Day laborer, janitor, house cleaner, farm worker, food counter sales, food preparation worker, busboy.
10=Garbage collector, short-order cook, cab driver, shoe sales, assembly line workers, masons, baggage porter.
15=Painter, skilled construction trade, sales clerk, truck driver, cook, sales counter or general office clerk.
20=Automobile mechanic, typist, locksmith, farmer, carpenter, receptionist, construction laborer, hairdresser.
25=Machinist, musician, bookkeeper, secretary, insurance sales, cabinet maker, personnel specialist, welder.
30=Supervisor, librarian, aircraft mechanic, artist and artisan, electrician, administrator, military enlisted personnel, buyer.
35=Nurse, skilled technician, medical technician, counselor, manager, police and fire personnel, financial manager, physical, occupational, speech therapist.
40=Mechanical, nuclear, and electrical engineer, educational administrator, veterinarian, military officer, elementary, high school and special education teacher.
45=Physician, attorney, professor, chemical and aerospace engineer, judge, CEO, senior manager, public official, psychologist, pharmacist, accountant."
Categorical ,Barratt Simplified Measure of Social Status,Barratt_Barratt_P2_Edu,Parent 2 level of education,categorical int,"3=Less than 7th grade
6=Junior high/Middle school (9th grade)
9=Partial high school (10th or 11th grade)
12=High school graduate
15=Partial college (at least one year)
18=College education
21=Graduate degree"
Categorical ,Barratt Simplified Measure of Social Status,Barratt_Barratt_P2_Occ,Parent 2 occupation,categorical int,"0=Homemaker, stay at home parent.
5=Day laborer, janitor, house cleaner, farm worker, food counter sales, food preparation worker, busboy.
10=Garbage collector, short-order cook, cab driver, shoe sales, assembly line workers, masons, baggage porter.
15=Painter, skilled construction trade, sales clerk, truck driver, cook, sales counter or general office clerk.
20=Automobile mechanic, typist, locksmith, farmer, carpenter, receptionist, construction laborer, hairdresser.
25=Machinist, musician, bookkeeper, secretary, insurance sales, cabinet maker, personnel specialist, welder.
30=Supervisor, librarian, aircraft mechanic, artist and artisan, electrician, administrator, military enlisted personnel, buyer.
35=Nurse, skilled technician, medical technician, counselor, manager, police and fire personnel, financial manager, physical, occupational, speech therapist.
40=Mechanical, nuclear, and electrical engineer, educational administrator, veterinarian, military officer, elementary, high school and special education teacher.
45=Physician, attorney, professor, chemical and aerospace engineer, judge, CEO, senior manager, public official, psychologist, pharmacist, accountant."
Quantitative,Strength and Difficulties Questionnaire,participant_id,Participant ID,int,"0=Homemaker, stay at home parent.
5=Day laborer, janitor, house cleaner, farm worker, food counter sales, food preparation worker, busboy.
10=Garbage collector, short-order cook, cab driver, shoe sales, assembly line workers, masons, baggage porter.
15=Painter, skilled construction trade, sales clerk, truck driver, cook, sales counter or general office clerk.
20=Automobile mechanic, typist, locksmith, farmer, carpenter, receptionist, construction laborer, hairdresser.
25=Machinist, musician, bookkeeper, secretary, insurance sales, cabinet maker, personnel specialist, welder.
30=Supervisor, librarian, aircraft mechanic, artist and artisan, electrician, administrator, military enlisted personnel, buyer.
35=Nurse, skilled technician, medical technician, counselor, manager, police and fire personnel, financial manager, physical, occupational, speech therapist.
40=Mechanical, nuclear, and electrical engineer, educational administrator, veterinarian, military officer, elementary, high school and special education teacher.
45=Physician, attorney, professor, chemical and aerospace engineer, judge, CEO, senior manager, public official, psychologist, pharmacist, accountant."
